GRAND PRIX,DRIVER STANDINGS,TEAMS,LAPS,TIME,POINTS,YEAR
1103/mexico,Max Verstappen,Red Bull Racing Honda,71,1:38:39.086,25,2021
1103/mexico,Lewis Hamilton,Mercedes,71,+16.555s,18,2021
1103/mexico,Sergio Perez,Red Bull Racing Honda,71,+17.752s,15,2021
1103/mexico,Pierre Gasly,AlphaTauri Honda,71,+63.845s,12,2021
1103/mexico,Charles Leclerc,Ferrari,71,+81.037s,10,2021
1103/mexico,Carlos Sainz,Ferrari,70,+1 lap,8,2021
1103/mexico,Sebastian Vettel,Aston Martin Mercedes,70,+1 lap,6,2021
1103/mexico,Kimi Räikkönen,Alfa Romeo Racing Ferrari,70,+1 lap,4,2021
1103/mexico,Fernando Alonso,Alpine Renault,70,+1 lap,2,2021
1103/mexico,Lando Norris,McLaren Mercedes,70,+1 lap,1,2021
1103/mexico,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,70,+1 lap,0,2021
1103/mexico,Daniel Ricciardo,McLaren Mercedes,70,+1 lap,0,2021
1103/mexico,Esteban Ocon,Alpine Renault,70,+1 lap,0,2021
1103/mexico,Lance Stroll,Aston Martin Mercedes,69,+2 laps,0,2021
1103/mexico,Valtteri Bottas,Mercedes,69,+2 laps,0,2021
1103/mexico,George Russell,Williams Mercedes,69,+2 laps,0,2021
1103/mexico,Nicholas Latifi,Williams Mercedes,69,+2 laps,0,2021
1103/mexico,Nikita Mazepin,Haas Ferrari,68,+3 laps,0,2021
1103/mexico,Mick Schumacher,Haas Ferrari,0,DNF,0,2021
1103/mexico,Yuki Tsunoda,AlphaTauri Honda,0,DNF,0,2021
1135/united-states,Max Verstappen,Red Bull Racing RBPT,56,1:42:11.687,25,2022
1135/united-states,Lewis Hamilton,Mercedes,56,+5.023s,18,2022
1135/united-states,Charles Leclerc,Ferrari,56,+7.501s,15,2022
1135/united-states,Sergio Perez,Red Bull Racing RBPT,56,+8.293s,12,2022
1135/united-states,George Russell,Mercedes,56,+44.815s,11,2022
1135/united-states,Lando Norris,McLaren Mercedes,56,+53.785s,8,2022
1135/united-states,Fernando Alonso,Alpine Renault,56,+55.078s,6,2022
1135/united-states,Sebastian Vettel,Aston Martin Aramco Mercedes,56,+65.354s,4,2022
1135/united-states,Kevin Magnussen,Haas Ferrari,56,+65.834s,2,2022
1135/united-states,Yuki Tsunoda,AlphaTauri RBPT,56,+70.919s,1,2022
1135/united-states,Esteban Ocon,Alpine Renault,56,+72.875s,0,2022
1135/united-states,Zhou Guanyu,Alfa Romeo Ferrari,56,+76.164s,0,2022
1135/united-states,Alexander Albon,Williams Mercedes,56,+80.057s,0,2022
1135/united-states,Pierre Gasly,AlphaTauri RBPT,56,+81.763s,0,2022
1135/united-states,Mick Schumacher,Haas Ferrari,56,+84.490s,0,2022
1135/united-states,Daniel Ricciardo,McLaren Mercedes,56,+90.487s,0,2022
1135/united-states,Nicholas Latifi,Williams Mercedes,56,+103.588s,0,2022
1135/united-states,Lance Stroll,Aston Martin Aramco Mercedes,21,DNF,0,2022
1135/united-states,Valtteri Bottas,Alfa Romeo Ferrari,16,DNF,0,2022
1135/united-states,Carlos Sainz,Ferrari,1,DNF,0,2022
