GRAND PRIX,DRIVER STANDINGS,TEAMS,Q1,Q2,Q3,LAPS,YEAR
1107/abu-dhabi,Max Verstappen,Red Bull Racing Honda,1:23.322,1:22.800,1:22.109,20,2021
1107/abu-dhabi,Lewis Hamilton,Mercedes,1:22.845,1:23.145,1:22.480,19,2021
1107/abu-dhabi,Lando Norris,McLaren Mercedes,1:23.553,1:23.256,1:22.931,20,2021
1107/abu-dhabi,Sergio Perez,Red Bull Racing Honda,1:23.350,1:23.135,1:22.947,24,2021
1107/abu-dhabi,Carlos Sainz,Ferrari,1:23.624,1:23.174,1:22.992,22,2021
1107/abu-dhabi,Valtteri Bottas,Mercedes,1:23.117,1:23.246,1:23.036,20,2021
1107/abu-dhabi,Charles Leclerc,Ferrari,1:23.467,1:23.202,1:23.122,23,2021
1107/abu-dhabi,Yuki Tsunoda,AlphaTauri Honda,1:23.428,1:23.404,1:23.220,22,2021
1107/abu-dhabi,Esteban Ocon,Alpine Renault,1:23.764,1:23.420,1:23.389,20,2021
1107/abu-dhabi,Daniel Ricciardo,McLaren Mercedes,1:23.829,1:23.448,1:23.409,19,2021
1107/abu-dhabi,Fernando Alonso,Alpine Renault,1:23.846,1:23.460,0,12,2021
1107/abu-dhabi,Pierre Gasly,AlphaTauri Honda,1:23.489,1:24.043,0,16,2021
1107/abu-dhabi,Lance Stroll,Aston Martin Mercedes,1:24.061,1:24.066,0,17,2021
1107/abu-dhabi,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,1:24.118,1:24.251,0,17,2021
1107/abu-dhabi,Sebastian Vettel,Aston Martin Mercedes,1:24.225,1:24.305,0,18,2021
1107/abu-dhabi,Nicholas Latifi,Williams Mercedes,1:24.338,0,0,8,2021
1107/abu-dhabi,George Russell,Williams Mercedes,1:24.423,0,0,7,2021
1107/abu-dhabi,Kimi Räikkönen,Alfa Romeo Racing Ferrari,1:24.779,0,0,8,2021
1107/abu-dhabi,Mick Schumacher,Haas Ferrari,1:24.906,0,0,9,2021
1107/abu-dhabi,Nikita Mazepin,Haas Ferrari,1:25.685,0,0,9,2021
1138/abu-dhabi,Max Verstappen,Red Bull Racing RBPT,1:24.754,1:24.622,1:23.824,17,2022
1138/abu-dhabi,Sergio Perez,Red Bull Racing RBPT,1:24.820,1:24.419,1:24.052,18,2022
1138/abu-dhabi,Charles Leclerc,Ferrari,1:25.211,1:24.517,1:24.092,17,2022
1138/abu-dhabi,Carlos Sainz,Ferrari,1:25.090,1:24.521,1:24.242,16,2022
1138/abu-dhabi,Lewis Hamilton,Mercedes,1:25.594,1:24.774,1:24.508,21,2022
1138/abu-dhabi,George Russell,Mercedes,1:25.545,1:24.940,1:24.511,20,2022
1138/abu-dhabi,Lando Norris,McLaren Mercedes,1:25.387,1:24.903,1:24.769,17,2022
1138/abu-dhabi,Esteban Ocon,Alpine Renault,1:25.735,1:25.007,1:24.830,17,2022
1138/abu-dhabi,Sebastian Vettel,Aston Martin Aramco Mercedes,1:25.523,1:24.974,1:24.961,18,2022
1138/abu-dhabi,Daniel Ricciardo,McLaren Mercedes,1:25.766,1:25.068,1:25.045,15,2022
1138/abu-dhabi,Fernando Alonso,Alpine Renault,1:25.782,1:25.096,0,12,2022
1138/abu-dhabi,Yuki Tsunoda,AlphaTauri RBPT,1:25.630,1:25.219,0,15,2022
1138/abu-dhabi,Mick Schumacher,Haas Ferrari,1:25.711,1:25.225,0,15,2022
1138/abu-dhabi,Lance Stroll,Aston Martin Aramco Mercedes,1:25.741,1:25.359,0,15,2022
1138/abu-dhabi,Zhou Guanyu,Alfa Romeo Ferrari,1:25.594,1:25.408,0,12,2022
1138/abu-dhabi,Kevin Magnussen,Haas Ferrari,1:25.834,0,0,9,2022
1138/abu-dhabi,Pierre Gasly,AlphaTauri RBPT,1:25.859,0,0,9,2022
1138/abu-dhabi,Valtteri Bottas,Alfa Romeo Ferrari,1:25.892,0,0,6,2022
1138/abu-dhabi,Alexander Albon,Williams Mercedes,1:26.028,0,0,9,2022
1138/abu-dhabi,Nicholas Latifi,Williams Mercedes,1:26.054,0,0,9,2022
