GRAND PRIX,DATE,PTS,YEAR
Bahrain,28 Mar 2021,41.0,2021
Emilia Romagna,18 Apr 2021,19.0,2021
Portugal,02 May 2021,41.0,2021
Spain,09 May 2021,40.0,2021
Monaco,23 May 2021,7.0,2021
Azerbaijan,06 Jun 2021,0.0,2021
France,20 Jun 2021,30.0,2021
Styria,27 Jun 2021,34.0,2021
Austria,04 Jul 2021,30.0,2021
Great Britain,18 Jul 2021,43.0,2021
Hungary,01 Aug 2021,18.0,2021
Belgium,29 Aug 2021,7.5,2021
Netherlands,05 Sep 2021,34.0,2021
Italy,12 Sep 2021,18.0,2021
Russia,26 Sep 2021,35.0,2021
Turkey,10 Oct 2021,36.0,2021
United States ,24 Oct 2021,27.0,2021
Mexico,07 Nov 2021,18.0,2021
Brazil,14 Nov 2021,43.0,2021
Qatar,21 Nov 2021,25.0,2021
Saudi Arabia,05 Dec 2021,41.0,2021
Abu Dhabi,12 Dec 2021,26.0,2021
Bahrain,20 Mar 2022,27.0,2022
Saudi Arabia,27 Mar 2022,11.0,2022
Australia,10 Apr 2022,27.0,2022
Emilia Romagna,24 Apr 2022,12.0,2022
Miami ,08 May 2022,18.0,2022
Spain,22 May 2022,25.0,2022
Monaco,29 May 2022,14.0,2022
Azerbaijan,12 Jun 2022,27.0,2022
Canada,19 Jun 2022,27.0,2022
Great Britain,03 Jul 2022,16.0,2022
Austria,10 Jul 2022,33.0,2022
France,24 Jul 2022,33.0,2022
Hungary,31 Jul 2022,34.0,2022
Belgium,28 Aug 2022,12.0,2022
Netherlands,04 Sep 2022,30.0,2022
Italy,11 Sep 2022,25.0,2022
Singapore,02 Oct 2022,2.0,2022
Japan,09 Oct 2022,14.0,2022
United States ,23 Oct 2022,29.0,2022
Mexico,30 Oct 2022,31.0,2022
Brazil,13 Nov 2022,58.0,2022
Abu Dhabi,20 Nov 2022,10.0,2022
